"","Var1","Freq"
"1","Adjusted net enrolment rate, lower secondary, both sexes (%)",64
"2","Adjusted net enrolment rate, lower secondary, female (%)",64
"3","Adjusted net enrolment rate, lower secondary, gender parity index (GPI)",64
"4","Adjusted net enrolment rate, lower secondary, male (%)",64
"5","Adjusted net enrolment rate, primary, both sexes (%)",64
"6","Adjusted net enrolment rate, primary, female (%)",64
"7","Adjusted net enrolment rate, primary, gender parity index (GPI)",64
"8","Adjusted net enrolment rate, primary, male (%)",64
"9","Adjusted net enrolment rate, upper secondary, both sexes (%)",64
"10","Adjusted net enrolment rate, upper secondary, female (%)",64
"11","Adjusted net enrolment rate, upper secondary, gender parity index (GPI)",64
"12","Adjusted net enrolment rate, upper secondary, male (%)",64
"13","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",64
"14","Adjusted net intake rate to Grade 1 of primary education, female (%)",64
"15","Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)",64
"16","Adjusted net intake rate to Grade 1 of primary education, male (%)",64
"17","Adult illiterate population, 15+ years, % female",64
"18","Adult illiterate population, 15+ years, both sexes (number)",64
"19","Adult illiterate population, 15+ years, female (number)",64
"20","Adult illiterate population, 15+ years, male (number)",64
"21","Adult literacy rate, population 15+ years, both sexes (%)",64
"22","Adult literacy rate, population 15+ years, female (%)",64
"23","Adult literacy rate, population 15+ years, gender parity index (GPI)",64
"24","Adult literacy rate, population 15+ years, male (%)",64
"25","Africa Dataset: Average number of grades per multigrade class in primary schools (number of grades)",64
"26","Africa Dataset: Average number of pupils per mathematics textbook in Grade 1 of primary education (number)",64
"27","Africa Dataset: Average number of pupils per mathematics textbook in Grade 2 of primary education (number)",64
"28","Africa Dataset: Average number of pupils per mathematics textbook in Grade 3 of primary education (number)",64
"29","Africa Dataset: Average number of pupils per mathematics textbook in Grade 4 of primary education (number)",64
"30","Africa Dataset: Average number of pupils per mathematics textbook in Grade 5 of primary education (number)",64
"31","Africa Dataset: Average number of pupils per mathematics textbook in Grade 6 of primary education (number)",64
"32","Africa Dataset: Average number of pupils per mathematics textbook in Grade 7 of primary education (number)",64
"33","Africa Dataset: Average number of pupils per mathematics textbook in primary education (number)",64
"34","Africa Dataset: Average number of pupils per reading textbook in Grade 1 of primary education (number)",64
"35","Africa Dataset: Average number of pupils per reading textbook in Grade 2 of primary education (number)",64
"36","Africa Dataset: Average number of pupils per reading textbook in Grade 3 of primary education (number)",64
"37","Africa Dataset: Average number of pupils per reading textbook in Grade 4 of primary education (number)",64
"38","Africa Dataset: Average number of pupils per reading textbook in Grade 5 of primary education (number)",64
"39","Africa Dataset: Average number of pupils per reading textbook in Grade 6 of primary education (number)",64
"40","Africa Dataset: Average number of pupils per reading textbook in Grade 7 of primary education (number)",64
"41","Africa Dataset: Average number of pupils per reading textbook in primary education (number)",64
"42","Africa Dataset: Average size of classes in primary schools (number of pupils)",64
"43","Africa Dataset: Average size of multigrade classes in primary schools (number of pupils)",64
"44","Africa Dataset: Average size of single grade classes in Grade 1 of primary schools (number of pupils)",64
"45","Africa Dataset: Average size of single grade classes in Grade 2 of primary schools (number of pupils)",64
"46","Africa Dataset: Average size of single grade classes in Grade 3 of primary schools (number of pupils)",64
"47","Africa Dataset: Average size of single grade classes in Grade 4 of primary schools (number of pupils)",64
"48","Africa Dataset: Average size of single grade classes in Grade 5 of primary schools (number of pupils)",64
"49","Africa Dataset: Average size of single grade classes in Grade 6 of primary schools (number of pupils)",64
"50","Africa Dataset: Average size of single grade classes in Grade 7 of primary schools (number of pupils)",64
"51","Africa Dataset: Average size of single grade classes in primary schools (number of pupils)",64
"52","Africa Dataset: Graduates from accredited pre-service lower secondary teacher training programmes, both sexes (number)",64
"53","Africa Dataset: Graduates from accredited pre-service lower secondary teacher training programmes, female (number)",64
"54","Africa Dataset: Graduates from accredited pre-service primary or secondary teacher training programmes, both sexes (number)",64
"55","Africa Dataset: Graduates from accredited pre-service primary or secondary teacher training programmes, female (number)",64
"56","Africa Dataset: Graduates from accredited pre-service primary teacher training programmes, both sexes (number)",64
"57","Africa Dataset: Graduates from accredited pre-service primary teacher training programmes, female (number)",64
"58","Africa Dataset: Graduates from accredited pre-service teacher training programmes, level unspecified, both sexes (number)",64
"59","Africa Dataset: Graduates from accredited pre-service teacher training programmes, level unspecified, female (number)",64
"60","Africa Dataset: Graduates from accredited pre-service upper secondary teacher training programmes, both sexes (number)",64
"61","Africa Dataset: Graduates from accredited pre-service upper secondary teacher training programmes, female (number)",64
"62","Africa Dataset: Percentage of female newly recruited teachers in lower secondary education who are trained, female (%)",64
"63","Africa Dataset: Percentage of female newly recruited teachers in primary education who are trained, female (%)",64
"64","Africa Dataset: Percentage of female newly recruited teachers in upper secondary education who are trained, female (%)",64
"65","Africa Dataset: Percentage of female teachers in lower secondary education who are newly recruited, female (%)",64
